brand,screen,procesor,RAM,Disk,Graphic Card,Operation System,Price(zł)
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 3 5300U,8,256 GB SSD,AMD Radeon Graphics,Windows 10 Home,2.399
HP,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1155G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,3.099
ACER,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,Windows 11 Home,2.799
HP,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 11 Home,5.299
ACER,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,2.799
APPLE,"14.2"", 3024 x 1964px, 120Hz",Apple M1 Pro,16,512 GB SSD,Apple M1 Pro (14 rdzeni),macOS Monterey,10.799
APPLE,"14.2"", 3024 x 1964px, 120Hz",Apple M1 Pro,16,1000 GB SSD,Apple M1 Pro (16 rdzeni),macOS Monterey,12.399
DELL,"13.3"", 1920 x 1080px, 60Hz",Intel Core i5-10210U,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),6.695
LENOVO,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.699
DELL,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,16,512 GB SSD,AMD Radeon Graphics,Windows 10 Home,3.499
TECHBITE,"14.1"", 1366 x 768px",Intel Celeron N4020,4,128 GB SSD,Intel UHD Graphics 600,Windows 10 Professional,1.199
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,3.899
MSI,"17.3"", 1920 x 1080px, 144Hz",Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 11 Home,5.899
DELL,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,4.499
LENOVO,"15.6"", 1920 x 1080px, 120Hz",Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 11 Home,3.749
DELL,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,Windows 11 Home,2.999
APPLE,"13.3"", 2560 x 1600px, 60Hz",Apple M1,16,512 GB SSD,Apple M1 (8 rdzeni),macOS Big Sur,6.599
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 10 Home,4.599
LENOVO,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-9300HF,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 11 Home,3.299
ASUS,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel UHD Graphics,Windows 11 Home,2.999
DELL,"15.6"", 1920 x 1080px, 120Hz",Intel Core i5-10500H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Linux,2.999
DELL,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.999
ACER,"17.3"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,2.999
LENOVO,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Brak,3.999
LENOVO,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Brak,3.199
HP,"15.6"", 1920 x 1080px, 60Hz",Intel Core i3-1115G4,8,256 GB SSD,Intel UHD Graphics,Windows 10 Home,2.399
LENOVO,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-9300HF,16,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 11 Home,3.399
ASUS,"17.3"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,4.499
HIRO,"15.6"", 1920 x 1080px, 60Hz",Intel Core i7-10750H,8,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.399
