brand,screen,procesor,RAM,Disk,Graphic Card,Operation System,Price(zł)
ASUS,"13.4"", 3840 x 2400px, Ekran dotykowy, 60Hz",AMD Ryzen 9 5980HS,16,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),10.799
DELL,"15.6"", 1920 x 1080px, 60Hz",Intel Core i3-1115G4,8,256 GB SSD,Intel UHD Graphics,Windows 11 Home S,2.799
APPLE,"13.3"", 2560 x 1600px, 60Hz",Apple M1,16,2000 GB SSD,Apple M1 (8 rdzeni),macOS Big Sur,11.799
DYNABOOK,"13.3"", 1920 x 1080px",Intel Core i5-8250U,8,256 GB SSD,Intel UHD Graphics 620,Windows 10 Professional,4.299
ACER,"14"", 1920 x 1080px, 60Hz",Intel Core i7-10750H,16,1000 GB SSD,NVIDIA Quadro T1000,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),5.699
ACER,"14"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.499
DELL,"13.3"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.999
DELL,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,256 GB SSD,Intel UHD Graphics,Windows 11 Home,3.299
MAXCOM,"14"", 1920 x 1080px, 60Hz",Intel Celeron J4125,8,256 GB SSD,Intel UHD Graphics 600,Windows 10 Home,1.749
LENOVO,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,4.504
RAZER,"13.4"", 1920 x 1200px, Ekran dotykowy, 60Hz",Intel Core i7-1165G7,16,256 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),6.999
MSI,"17.3"", 1920 x 1080px, 144Hz",Intel Core i5-10500H,8,512 GB SSD,NVIDIA GeForce RTX 3060 Max-Q,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.199
LENOVO,"14"", 1920 x 1080px, 60Hz",Intel Core i5-1035G1,8,1000 GB SSD,Intel UHD Graphics,Brak,3.001
MSI,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),3.799
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,256 GB SSD,AMD Radeon Graphics,Windows 10 Home,3.099
ACER,"15.6"", 2560 x 1440px, 165Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3080,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),10.999
DELL,"13.3"", 1920 x 1080px, 60Hz",Intel Core i5-11320H,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,4.399
MSI,"17.3"", 1920 x 1080px, 144Hz",Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,4.799
DELL,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,16,512 GB SSD,AMD Radeon Graphics,Windows 11 Professional,4.099
DELL,"13.3"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,5.299
DELL,"13.3"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i5-1135G7,8,Intel Iris Xe Graphics,Windows 11 Professional,Intel Core i5-1135G7,4.639
APPLE,"14.2"", 3024 x 1964px, 120Hz",Apple M1 Pro,16,512 GB SSD,Apple M1 Pro (14 rdzeni),macOS Monterey,10.799
DELL,"14"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i5-1155G7,8,512 GB SSD,NVIDIA GeForce MX350,"Windows 11 Professional, Uaktualnienie do Windows 11",4.999
DELL,"15.6"", 1920 x 1080px, 120Hz",Intel Core i5-10500H,16,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 11 Professional,5.299
DELL,"13.3"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i7-1165G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),7.599
DELL,"13.3"", 1920 x 1080px, 60Hz",Intel Core i7-1165G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Professional,6.999
DELL,"15.6"", 1920 x 1080px, 120Hz",Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Linux,5.599
DELL,"15.6"", 1920 x 1080px, 120Hz",Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Professional,5.599
DELL,"15.6"", 1920 x 1080px, 120Hz",Intel Core i5-10500H,16,512 GB SSD,NVIDIA GeForce GTX 1650,Linux,4.699
DELL,"13.3"", 3840 x 2160px, 60Hz",Intel Core i7-1165G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Professional,8.399
HP,"16.1"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,4.399
LENOVO,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.299
HP,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,4.999
ACER,"17.3"", 1920 x 1080px, 360Hz",Intel Core i7-11800H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,Windows 10 Home,10.999
HP,"14"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.399
HP,"16.1"", 2560 x 1440px, 165Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Brak,6.899
DELL,"15.6"", 1920 x 1080px, 360Hz",Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3060,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),7.699
LENOVO,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional,3.199
DELL,"15.6"", 1920 x 1080px, 120Hz",Intel Core i7-10750H,8,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,Linux,4.549
DELL,"13.3"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i5-8365U,8,256 GB SSD,Intel UHD Graphics 620,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),8.399
APPLE,"13.3"", 2560 x 1600px",Intel Core i5-1038NG7,16,1000 GB SSD,Intel Iris Plus Graphics,macOS Catalina,9.493
LENOVO,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 4500U,8,256 GB SSD,AMD Radeon Graphics,Windows 10 Professional,3.491
MICROSOFT,"13.5"", 2256 x 1504px, Dotykowy",Intel Core i7-1065G7,16,1000 GB SSD,Intel Iris Plus Graphics,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),12.999
DELL,"13.3"", 2560 x 1600px, 60Hz",Intel Core i5-11320H,8,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,4.099
ASUS,"15.6"", 2560 x 1440px, 165Hz",AMD Ryzen 7 5800HS,16,512 GB SSD,NVIDIA GeForce RTX 3060,Brak,8.499
LG ELECTRONICS POLSKA SP. Z O.O.,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.699
HP,"13.3"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.299
MICROSOFT,"15"", 2496 x 1664px, Ekran dotykowy, 60Hz",AMD Ryzen 7 4980U,8,256 GB SSD,AMD Radeon RX Vega 11,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),6.699
DELL,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.899
ACER,"15.6"", 2560 x 1440px, 165Hz",AMD Ryzen 9 5900HX,16,1000 GB SSD,NVIDIA GeForce RTX 3080,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),10.999
LENOVO,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-10750H,16,512 GB SSD,NVIDIA GeForce RTX 2080 Super Max-Q,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),9.499
ASUS,"14"", 2560 x 1440px, 120Hz",AMD Ryzen 7 5800HS,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.199
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 3 5300U,8,256 GB SSD,AMD Radeon Graphics,Windows 10 Professional,2.849
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.149
DELL,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 3450U,8,256 GB SSD,AMD Radeon Vega 8,Windows 10 Professional,3.199
RAZER,"13.3"", 1920 x 1080px, 120Hz",Intel Core i7-1165G7,16,512 GB SSD,NVIDIA GeForce GTX 1650 Ti Max-Q,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),9.399
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,4.213
ASUS,"15.6"", 2560 x 1440px, 165Hz",AMD Ryzen 7 5800HS,16,1000 GB SSD,NVIDIA GeForce RTX 3070,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),9.599
HUAWEI,"14.2"", 2520 x 1680px, Ekran dotykowy, 90Hz",Intel Core i7-11370H,16,1000 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),7.499
ACER,"15.6"", 2560 x 1440px, 165Hz",Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,Brak,9.199
ACER,"15.6"", 1920 x 1080px, 165Hz",Intel Core i7-12700H,32,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,Windows 11 Home,10.299
ACER,"17.3"", 1920 x 1080px, 144Hz",Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,Windows 11 Home,9.849
ACER,"15.6"", 1920 x 1080px, 165Hz",Intel Core i7-12700H,32,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,Windows 11 Home,10.049
ACER,"15.6"", 1920 x 1080px, 360Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,Windows 10 Home,9.799
ACER,"15.6"", 1920 x 1080px, 360Hz",Intel Core i7-11800H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,Windows 10 Home,10.299
ACER,"15.6"", 2560 x 1440px, 165Hz",Intel Core i7-11800H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,Windows 10 Home,10.099
ACER,"17.3"", 1920 x 1080px, 144Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,Windows 11 Home,10.999
ACER,"17.3"", 2560 x 1440px, 165Hz",Intel Core i7-11800H,32,1000 (x2) GB SSD,NVIDIA GeForce RTX 3070,Windows 10 Home,11.199
ACER,"17.3"", 2560 x 1440px, 165Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,Windows 10 Home,9.899
ACER,"17.3"", 2560 x 1440px, 165Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Windows 10 Home,8.849
ACER,"15.6"", 1920 x 1080px, 60Hz",Intel Core i7-1195G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,3.299
REALME,"14"", 2160 x 1140px, 60Hz",Intel Core i5-11320H,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,3.799
ACER,"15.6"", 1920 x 1080px, 60Hz",Intel Core i7-1195G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,3.599
ACER,"17.3"", 2560 x 1440px, 165Hz",Intel Core i7-11800H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,Windows 10 Home,12.399
LENOVO,"16"", 2560 x 1600px, 60Hz",Intel Core i5-11300H,16,512 GB SSD,NVIDIA GeForce MX450,Brak,4.249
LENOVO,"16"", 2560 x 1600px, 120Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,4.449
DELL,"16"", 1920 x 1200px, 60Hz",AMD Ryzen 5 5625U,16,512 GB SSD,AMD Radeon Graphics,Windows 11 Professional,4.499
ACER,"17.3"", 1920 x 1080px, 144Hz",Intel Core i9-11900H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,Windows 11 Home,11.999
REALME,"14"", 2160 x 1140px, 60Hz",Intel Core i5-11320H,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,3.799
ACER,"17.3"", 1920 x 1080px, 144Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 11 Home,4.719
ACER,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1155G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,2.999
ACER,"17.3"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3060,Brak,5.559
DELL,"13.3"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,7.499
ACER,"15.6"", 2560 x 1440px, 165Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,Windows 10 Home,8.499
LENOVO,"17.3"", 1920 x 1080px, 144Hz",AMD Ryzen 5 5600H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Brak,6.099
ACER,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,Windows 10 Home,7.299
ACER,"15.6"", 1920 x 1080px, 165Hz",AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3080,Windows 10 Home,9.521
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,3.019
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Brak,5.099
MAXCOM,"14"", 1920 x 1080px, 60Hz",Intel Celeron J4125,8,256 GB SSD,Intel UHD Graphics 600,Windows 10 Home,1.749
LENOVO,"14"", 1920 x 1080px, 60Hz",AMD Ryzen 5 4500U,8,512 GB SSD,AMD Radeon Graphics,Windows 10 Home,3.199
HP,"16.1"", 2560 x 1440px, 165Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Brak,6.799
MSI,"15.6"", 2560 x 1440px, 165Hz",Intel Core i7-12700H,16,1000 GB SSD,NVIDIA GeForce RTX 3070 Ti,Brak,9.399
ACER,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 5 5600H,16,2000 GB HDD + 1000 GB SSD,NVIDIA GeForce RTX 3060,Brak,6.399
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Brak,3.889
ACER,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 5 5600H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,Brak,7.599
ASUS,"17.3"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,4.559
HP,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,4.649
MICROSOFT,"14.4"", 2400 x 1600px, Ekran dotykowy, 120Hz",Intel Core i7-11370H,32,1000 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 10 Home,14.799
LENOVO,"14"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,256 GB SSD,Intel Iris Xe Graphics,Windows 10 Professional,3.249
ASUS,"13.4"", 1920 x 1200px, Ekran dotykowy, 120Hz",Intel Core i9-12900H,16,1000 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 11 Home,9.499
LENOVO,"15.6"", 1920 x 1080px, 60Hz",Intel Core i3-1115G4,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional,3.499
ACER,"17.3"", 2560 x 1440px, 165Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,Windows 10 Home,12.499
ASUS,"15.6"", 1920 x 1080px, 300Hz",Intel Core i9-12900H,16,1000 GB SSD,NVIDIA GeForce RTX 3080,Windows 11 Home,12.299
DELL,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,NVIDIA GeForce MX350,Windows 11 Home,4.099
DELL,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Professional,3.899
DELL,"16"", 1920 x 1200px, 60Hz",AMD Ryzen 7 5825U,16,512 GB SSD,AMD Radeon Graphics,Windows 11 Professional,5.099
DELL,"15.6"", 1920 x 1080px, 120Hz",Intel Core i5-11260H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Professional,5.199
DELL,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,NVIDIA GeForce MX350,Windows 11 Professional,4.299
ASUS,"14"", 1920 x 1080px, 60Hz",Intel Celeron N4020,4,128 GB SSD,Intel UHD Graphics 600,Windows 11 Home S,1.399
ASUS,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 7 6800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,5.899
ASUS,"14"", 1920 x 1080px, 60Hz",Intel Celeron N4020,4,128 GB SSD,Intel UHD Graphics 600,Windows 11 Home S,1.399
DELL,"15.6"", 1920 x 1080px, 60Hz",Intel Core i7-1165G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Professional,4.499
ASUS,"14"", 1920 x 1080px, 60Hz",Intel Pentium Gold 7505,4,128 GB SSD,Intel UHD Graphics,Windows 11 Home S,2.099
DELL,"15.6"", 1920 x 1080px, 60Hz",Intel Core i3-1115G4,8,256 GB SSD,Intel UHD Graphics,Windows 11 Professional,2.999
ASUS,"15.6"", 1920 x 1080px, 60Hz",Intel Core i3-1005G1,8,256 GB SSD,Intel UHD Graphics,Brak,2.399
HP,"16.1"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800H,16,1000 GB SSD,AMD Radeon RX 6600M,Brak,6.399
HP,"16.1"", 1920 x 1080px, 60Hz",Intel Core i5-11400,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 11 Home,4.999
HP,"16.1"", 2560 x 1440px, 165Hz",AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Brak,6.299
HP,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1035G1,8,256 GB SSD,Intel UHD Graphics,Brak,2.899
ASUS,"14"", 2560 x 1600px, 60Hz",Intel Core i5-11300H,16,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 11 Home,4.399
ASUS,"14"", 1920 x 1080px, 60Hz",Intel Celeron N4020,4,128 GB SSD,Intel UHD Graphics 600,Windows 11 Home S,1.449
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,Windows 11 Professional,3.299
ASUS,"14"", 1920 x 1080px, 60Hz",Intel Pentium Gold 7505,4,256 GB SSD,Intel UHD Graphics,Windows 11 Home,2.299
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,Windows 11 Home,3.169
PRESTIGIO,"14.1"", 1366 x 768px, 60Hz",Intel Celeron N3350,4,128 GB Flash,Intel HD Graphics 500,Windows 10 Home,1.599
HP,"17.3"", 1920 x 1080px, 144Hz",Intel Core i5-11300H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,4.999
ACER,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3080,Windows 11 Home,9.434
HP,"17.3"", 1920 x 1080px, 144Hz",Intel Core i7-11370H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,5.499
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 5 5600H,16,1000 GB SSD,NVIDIA GeForce RTX 3050,Brak,4.499
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,256 GB SSD,AMD Radeon Graphics,Windows 11 Professional,3.299
LENOVO,"15.6"", 1920 x 1080px, 165Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Brak,4.504
LENOVO,"15.6"", 1920 x 1080px, 165Hz",AMD Ryzen 5 5600H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),7.899
LENOVO,"15.6"", 1920 x 1080px, 165Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.144
LENOVO,"15.6"", 1920 x 1080px, 165Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,4.499
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,3.599
LENOVO,"15.6"", 2560 x 1440px, 165Hz",AMD Ryzen 5 5600H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Brak,5.999
LENOVO,"15.6"", 1920 x 1080px, 165Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home,4.324
LENOVO,"17.3"", 1920 x 1080px, 144Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,5.199
ASUS,"11.6"", 1366 x 768px, 60Hz",Intel Celeron N4020,4,128 GB Flash,Intel UHD Graphics 600,Windows 11 Home S,1.299
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Brak,4.864
MSI,"17.3"", 2560 x 1440px, 240Hz",Intel Core i7-12700H,32,2000 GB SSD,NVIDIA GeForce RTX 3070 Ti,Windows 11 Home,14.499
LENOVO,"17.3"", 1600 x 900px, 60Hz",AMD Ryzen 5 3500U,8,512 GB SSD,AMD Radeon Vega 8,Windows 11 Home,2.299
LENOVO,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,3.299
LENOVO,"16"", 2560 x 1600px, 60Hz",Intel Core i5-11300H,16,1000 GB SSD,NVIDIA GeForce MX450,Windows 11 Home,4.499
LENOVO,"16"", 2560 x 1600px, 120Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 11 Home,4.849
LENOVO,"16"", 2560 x 1600px, 120Hz",AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce GTX 1650,Windows 11 Home,5.149
ASUS,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 7 6800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,6.099
HP,"16.1"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800H,16,1000 GB SSD,AMD Radeon RX 6600M,Windows 10 Home,6.999
DELL,"14"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Professional,3.742
MSI,"17.3"", 2560 x 1440px, 240Hz",32,2000 GB SSD,NVIDIA GeForce RTX 3070 Ti,Windows 11 Home,2.5 - 5.0,15.799
ASUS,"15.6"", 2560 x 1440px, 165Hz",AMD Ryzen 9 5980HX,16,512 GB SSD,AMD Radeon RX 6800M,Windows 11 Home,8.599
ASUS,"17.3"", 1920 x 1080px, 144Hz",AMD Ryzen 7 6800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 11 Home,5.599
MSI,"15.6"", 2560 x 1440px, 240Hz",Intel Core i7-12700H,32,1000 GB SSD,NVIDIA GeForce RTX 3080,Windows 11 Home,12.799
HP,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,256 GB SSD,Intel Iris Xe Graphics,Windows 10 Professional,3.817
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.799
DELL,"13.3"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Professional,5.599
ACER,"1920 x 1080px, 60Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3050 Ti,Intel Core i7-11800H,8.369
LENOVO,"15.6"", 1920 x 1080px, 165Hz",Intel Core i5-11400H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Windows 11 Home,6.304
DELL,"14"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.299
DELL,"15.6"", 1920 x 1080px, 360Hz",Intel Core i7-11800H,32,512 GB SSD,NVIDIA GeForce RTX 3080,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),14.999
DREAMMACHINES,"15.6"", 2560 x 1440px, 165Hz",AMD Ryzen 9 5900HX,16,1000 GB SSD,NVIDIA GeForce RTX 3070,Brak,9.229
ACER,"16"", 3072 x 1920px, 60Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Windows 10 Professional,9.869
DELL,"15.6"", 2560 x 1440px, 240Hz",Intel Core i7-11800H,32,1000 GB SSD,NVIDIA GeForce RTX 3080,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),15.499
LENOVO,"17.3"", 1920 x 1080px, 144Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.899
LENOVO,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,3.899
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 7 4800H,16,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,Brak,8.0
MSI,"15.6"", 1920 x 1080px, 240Hz",AMD Ryzen 9 5900H,16,1000 GB SSD,AMD Radeon RX 6700M,Windows 11 Home,7.899
